Timestamp,Event,Confidence
2026-06-25_10-49-16,FIRE,0.79
2026-06-25_10-49-24,FIRE,0.807
2026-06-25_10-49-32,FIRE,0.81
2026-06-25_10-49-39,FIRE,0.894
2026-06-25_10-49-45,FIRE,0.933
2026-06-25_10-49-51,FIRE,0.807
2026-06-25_10-50-04,FIRE,0.862
2026-06-25_10-50-20,FIRE,0.777
2026-06-25_10-50-25,FIRE,0.8
2026-06-25_10-50-29,FIRE,0.686
2026-06-25_10-50-33,FIRE,0.823
2026-06-25_10-57-33,FIRE,0.844
2026-06-25_10-57-36,FIRE,0.903
2026-06-25_10-57-40,FIRE,0.81
2026-06-25_10-57-44,FIRE,0.865
2026-06-25_10-57-47,FIRE,0.926
2026-06-25_10-57-50,FIRE,0.935
2026-06-25_10-57-53,FIRE,0.904
2026-06-25_10-57-58,FIRE,0.935
2026-06-25_10-58-01,FIRE,0.907
2026-06-25_10-58-04,FIRE,0.876
2026-06-25_10-58-08,FIRE,0.932
2026-06-25_10-58-12,FIRE,0.902
2026-06-25_10-58-16,FIRE,0.882
2026-06-25_10-58-20,FIRE,0.906
2026-06-25_10-58-23,FIRE,0.921
2026-06-25_10-58-26,FIRE,0.881
2026-06-25_10-58-30,FIRE,0.923
2026-06-25_10-58-33,FIRE,0.92
2026-06-25_10-58-36,FIRE,0.929
2026-06-25_10-58-40,FIRE,0.769
2026-06-25_10-58-44,FIRE,0.924
2026-06-25_10-58-49,FIRE,0.904
2026-06-25_10-58-53,FIRE,0.908
2026-06-25_10-58-58,FIRE,0.864
2026-06-25_10-59-03,FIRE,0.832
2026-06-25_10-59-06,FIRE,0.814
2026-06-25_10-59-10,FIRE,0.815
2026-06-25_10-59-15,FIRE,0.86
2026-06-25_10-59-24,FIRE,0.732
2026-06-25_10-59-28,FIRE,0.728
2026-06-25_10-59-35,FIRE,0.75
2026-06-25_10-59-43,FIRE,0.783
2026-06-25_10-59-47,FIRE,0.849
2026-06-25_10-59-53,FIRE,0.88
2026-06-25_10-59-57,FIRE,0.901
2026-06-25_11-00-03,FIRE,0.83
2026-06-25_11-00-11,FIRE,0.893
2026-06-25_11-00-22,FIRE,0.777
2026-06-25_11-00-28,FIRE,0.781
2026-06-25_11-00-32,FIRE,0.831
2026-06-25_11-00-37,FIRE,0.897
2026-06-25_11-03-10,FIRE,0.696
2026-06-25_11-04-18,FIRE,0.787
2026-06-25_11-04-21,FIRE,0.916
2026-06-25_11-04-26,FIRE,0.798
2026-06-25_11-04-48,FIRE,0.813
2026-06-25_11-04-53,FIRE,0.83
2026-06-25_11-05-01,FIRE,0.859
2026-06-25_11-05-07,FIRE,0.842
2026-06-25_11-05-16,FIRE,0.636
2026-06-25_11-05-29,FIRE,0.757
2026-06-25_11-05-34,FIRE,0.813
2026-06-25_11-05-43,FIRE,0.714
2026-06-25_11-05-48,FIRE,0.799
2026-06-25_11-06-00,FIRE,0.786
2026-06-25_11-06-05,FIRE,0.707
2026-06-25_11-06-15,FIRE,0.708
2026-06-25_11-06-19,FIRE,0.812
2026-06-25_11-06-24,FIRE,0.837
2026-06-25_11-06-30,FIRE,0.818
2026-06-25_11-06-37,FIRE,0.763
2026-06-25_11-06-45,FIRE,0.724
2026-06-25_11-06-53,FIRE,0.683
2026-06-25_11-07-01,FIRE,0.743
2026-06-25_11-07-05,FIRE,0.734
2026-06-25_11-07-10,FIRE,0.828
2026-06-25_11-07-16,FIRE,0.807
2026-06-25_11-07-49,FIRE,0.758
2026-06-25_11-08-03,FIRE,0.662
2026-06-25_11-08-14,FIRE,0.867
2026-06-25_11-08-28,FIRE,0.887
2026-06-25_11-08-36,FIRE,0.753
2026-06-25_11-09-09,FIRE,0.798
2026-06-25_11-09-18,FIRE,0.779
2026-06-25_11-09-30,FIRE,0.902
2026-06-25_11-09-49,FIRE,0.689
2026-06-25_11-10-14,FIRE,0.869
2026-06-25_11-10-25,FIRE,0.793
2026-06-25_11-10-47,FIRE,0.848
2026-06-25_11-10-57,FIRE,0.667
2026-06-25_11-11-04,FIRE,0.691
2026-06-25_11-11-36,FIRE,0.861
2026-06-25_11-11-45,FIRE,0.832
2026-06-25_11-11-53,FIRE,0.879
2026-06-25_11-11-58,FIRE,0.914
2026-06-25_11-12-10,FIRE,0.894
2026-06-25_11-12-14,FIRE,0.857
2026-06-25_11-12-26,FIRE,0.764
2026-06-25_11-12-31,FIRE,0.678
2026-06-25_11-12-43,FIRE,0.849
2026-06-25_11-12-53,FIRE,0.743
2026-06-25_11-12-59,FIRE,0.732
2026-06-25_11-13-05,FIRE,0.782
2026-06-25_11-13-09,FIRE,0.814
2026-06-25_11-13-14,FIRE,0.769
2026-06-25_11-13-19,FIRE,0.755
2026-06-25_11-13-23,FIRE,0.921
2026-06-25_11-13-31,FIRE,0.862
2026-06-25_11-13-36,FIRE,0.901
2026-06-25_11-13-41,FIRE,0.876
2026-06-25_11-13-46,FIRE,0.895
2026-06-25_11-13-53,FIRE,0.827
2026-06-25_11-13-58,FIRE,0.625
2026-06-25_11-14-04,FIRE,0.882
2026-06-25_11-14-10,FIRE,0.926
2026-06-25_11-14-14,FIRE,0.831
2026-06-25_11-14-18,FIRE,0.913
2026-06-25_11-14-24,FIRE,0.849
2026-06-25_11-14-30,FIRE,0.91
2026-06-25_11-14-48,FIRE,0.876
2026-06-25_11-15-02,FIRE,0.881
2026-06-25_11-15-19,FIRE,0.834
2026-06-25_11-15-42,FIRE,0.723
2026-06-25_11-16-06,FIRE,0.648
2026-06-25_11-16-21,FIRE,0.818
2026-06-25_11-16-33,FIRE,0.882
2026-06-25_11-16-37,FIRE,0.828
2026-06-25_11-16-43,FIRE,0.725
2026-06-25_11-16-47,FIRE,0.895
2026-06-25_11-16-51,FIRE,0.721
2026-06-25_11-16-55,FIRE,0.861
2026-06-25_11-16-59,FIRE,0.845
2026-06-25_11-17-03,FIRE,0.737
2026-06-25_11-17-08,FIRE,0.848
2026-06-25_11-17-14,FIRE,0.866
2026-06-25_11-17-18,FIRE,0.915
2026-06-25_11-17-22,FIRE,0.822
2026-06-25_11-17-26,FIRE,0.895
2026-06-25_11-17-30,FIRE,0.756
2026-06-25_11-17-34,FIRE,0.866
2026-06-25_11-17-38,FIRE,0.91
2026-06-25_11-17-43,FIRE,0.813
2026-06-25_11-17-47,FIRE,0.835
2026-06-25_11-17-52,FIRE,0.877
2026-06-25_11-17-59,FIRE,0.843
2026-06-25_11-18-08,FIRE,0.792
2026-06-25_11-18-14,FIRE,0.887
2026-06-25_11-18-18,FIRE,0.828
2026-06-25_11-18-23,FIRE,0.796
2026-06-25_11-18-27,FIRE,0.881
2026-06-25_11-18-31,FIRE,0.81
2026-06-25_11-18-35,FIRE,0.894
2026-06-25_11-18-38,FIRE,0.906
2026-06-25_11-18-42,FIRE,0.813
2026-06-25_11-18-45,FIRE,0.872
2026-06-25_11-18-48,FIRE,0.838
2026-06-25_11-18-52,FIRE,0.885
2026-06-25_11-18-55,FIRE,0.878
2026-06-25_11-18-58,FIRE,0.83
2026-06-25_11-19-04,FIRE,0.818
2026-06-25_11-19-09,FIRE,0.842
2026-06-25_11-19-13,FIRE,0.838
2026-06-25_11-19-20,FIRE,0.889
2026-06-25_11-19-24,FIRE,0.74
2026-06-25_11-19-31,FIRE,0.869
2026-06-25_11-19-35,FIRE,0.805
2026-06-25_11-19-39,FIRE,0.908
2026-06-25_11-19-43,FIRE,0.888
2026-06-25_11-19-47,FIRE,0.835
2026-06-25_11-19-51,FIRE,0.843
2026-06-25_11-19-56,FIRE,0.865
2026-06-25_11-19-59,FIRE,0.845
2026-06-25_11-20-02,FIRE,0.779
2026-06-25_11-20-06,FIRE,0.908
2026-06-25_11-20-10,FIRE,0.779
2026-06-25_11-20-13,FIRE,0.808
2026-06-25_11-20-16,FIRE,0.728
2026-06-25_11-20-23,FIRE,0.873
2026-06-25_11-20-27,FIRE,0.861
2026-06-25_11-20-31,FIRE,0.869
2026-06-25_11-20-39,FIRE,0.8
2026-06-25_11-20-46,FIRE,0.885
2026-06-25_11-20-53,FIRE,0.875
2026-06-25_11-20-58,FIRE,0.855
2026-06-25_11-21-03,FIRE,0.822
2026-06-25_11-21-09,FIRE,0.835
2026-06-25_11-21-33,FIRE,0.7
2026-06-25_11-21-43,FIRE,0.889
2026-06-25_11-21-49,FIRE,0.871
2026-06-25_11-21-58,FIRE,0.757
2026-06-25_11-22-23,FIRE,0.752
2026-06-25_11-22-33,FIRE,0.784
2026-06-25_11-22-43,FIRE,0.741
2026-06-25_11-22-49,FIRE,0.899
2026-06-25_11-22-54,FIRE,0.9
2026-06-25_11-33-01,FIRE,0.775
2026-06-25_11-33-06,FIRE,0.705
2026-06-25_11-33-14,FIRE,0.704
2026-06-25_11-33-22,FIRE,0.655
2026-06-25_11-33-33,FIRE,0.687
2026-06-25_11-33-43,FIRE,0.722
2026-06-25_11-33-49,FIRE,0.718
2026-06-25_11-33-55,FIRE,0.685
2026-06-25_11-34-00,FIRE,0.664
2026-06-25_11-34-15,FIRE,0.697
2026-06-25_11-34-30,FIRE,0.711
2026-06-25_11-34-35,FIRE,0.772
2026-06-25_11-34-42,FIRE,0.719
2026-06-25_11-35-01,FIRE,0.631
2026-06-25_11-35-19,FIRE,0.67
2026-06-25_11-35-24,FIRE,0.694
2026-06-25_11-35-38,FIRE,0.737
2026-06-25_11-35-55,FIRE,0.707
2026-06-25_11-36-00,FIRE,0.75
2026-06-25_11-36-12,FIRE,0.684
2026-06-25_11-36-16,FIRE,0.697
2026-06-25_11-36-21,FIRE,0.703
2026-06-25_11-36-26,FIRE,0.645
2026-06-25_11-36-31,FIRE,0.673
2026-06-25_11-36-37,FIRE,0.684
2026-06-25_11-36-48,FIRE,0.676
2026-06-25_11-38-22,FIRE,0.64
2026-06-25_11-38-35,FIRE,0.625
2026-06-25_11-38-54,FIRE,0.649
2026-06-25_11-38-59,FIRE,0.761
2026-06-25_11-39-06,FIRE,0.632
2026-06-25_11-39-12,FIRE,0.636
2026-06-25_11-39-17,FIRE,0.71
2026-06-25_11-39-51,FIRE,0.657
2026-06-25_11-40-44,FIRE,0.622
2026-06-25_11-40-50,FIRE,0.712
2026-06-25_11-40-56,FIRE,0.623
2026-06-25_11-41-08,FIRE,0.688
2026-06-25_11-41-13,FIRE,0.637
2026-06-25_11-41-28,FIRE,0.799
2026-06-25_11-41-33,FIRE,0.707
2026-06-25_11-42-31,FIRE,0.78
2026-06-25_11-43-01,FIRE,0.862
2026-06-25_11-43-13,FIRE,0.813
2026-06-25_11-43-17,FIRE,0.764
2026-06-25_11-43-24,FIRE,0.713
2026-06-25_11-43-46,FIRE,0.756
2026-06-25_11-43-49,FIRE,0.729
2026-06-25_11-43-53,FIRE,0.655
2026-06-25_11-43-57,FIRE,0.723
2026-06-25_11-44-01,FIRE,0.781
2026-06-25_11-44-05,FIRE,0.76
2026-06-25_11-44-09,FIRE,0.768
2026-06-25_11-44-13,FIRE,0.793
2026-06-25_11-44-17,FIRE,0.764
2026-06-25_11-44-21,FIRE,0.73
2026-06-25_11-44-25,FIRE,0.719
2026-06-25_11-44-29,FIRE,0.696
2026-06-25_11-44-33,FIRE,0.688
2026-06-25_11-44-39,FIRE,0.712
2026-06-25_11-44-43,FIRE,0.724
2026-06-25_11-45-10,FIRE,0.714
2026-06-25_11-45-35,FIRE,0.811
2026-06-25_11-45-45,FIRE,0.82
2026-06-25_11-45-53,FIRE,0.667
2026-06-25_11-46-08,FIRE,0.827
2026-06-25_11-46-12,FIRE,0.847
2026-06-25_11-46-17,FIRE,0.814
2026-06-25_11-46-21,FIRE,0.696
2026-06-25_11-46-25,FIRE,0.787
2026-06-25_11-46-29,FIRE,0.824
2026-06-25_11-46-34,FIRE,0.818
2026-06-25_11-46-38,FIRE,0.925
2026-06-25_11-46-42,FIRE,0.931
2026-06-25_11-46-47,FIRE,0.875
2026-06-25_11-46-51,FIRE,0.737
2026-06-25_11-46-58,FIRE,0.898
2026-06-25_11-47-03,FIRE,0.816
2026-06-25_11-47-08,FIRE,0.883
2026-06-25_11-47-13,FIRE,0.829
2026-06-25_11-47-17,FIRE,0.9
2026-06-25_11-47-22,FIRE,0.855
2026-06-25_11-47-27,FIRE,0.866
2026-06-25_11-47-32,FIRE,0.876
2026-06-25_11-47-37,FIRE,0.92
2026-06-25_11-47-41,FIRE,0.929
2026-06-25_11-47-46,FIRE,0.915
2026-06-25_11-47-54,FIRE,0.892
2026-06-25_11-48-35,FIRE,0.889
2026-06-25_11-48-54,FIRE,0.854
2026-06-25_11-49-00,FIRE,0.916
2026-06-25_11-49-14,FIRE,0.86
2026-06-25_11-49-27,FIRE,0.838
2026-06-25_11-50-15,FIRE,0.891
2026-06-25_11-50-29,FIRE,0.827
2026-06-25_11-50-40,FIRE,0.797
2026-06-25_11-50-44,FIRE,0.887
2026-06-25_11-50-49,FIRE,0.722
2026-06-25_11-50-53,FIRE,0.761
2026-06-25_11-50-57,FIRE,0.88
2026-06-25_11-51-01,FIRE,0.631
2026-06-25_11-51-08,FIRE,0.844
2026-06-25_11-51-13,FIRE,0.857
2026-06-25_11-51-21,FIRE,0.793
2026-06-25_11-51-33,FIRE,0.765
2026-06-25_11-51-40,FIRE,0.84
2026-06-25_11-51-46,FIRE,0.787
2026-06-25_11-51-52,FIRE,0.883
2026-06-25_11-51-58,FIRE,0.705
2026-06-25_11-52-03,FIRE,0.844
